HI91,pc_counter,sys_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,yaw,pps_sync_stamp,incli_x,incli_y,quat_w,quat_x,quat_y,quat_z,temperature,pressure,acc_norm,gyr_norm,mag_norm
HI91,95498,10512,0.0003753662168,0.003314208938,0.9973755479,0.008948453702,-0.006565082818,0.003083768301,-10.76666737,-3.250000238,-35.29166794,0.01596498117,0.1478186995,1.154074311,2.32,0.01596498117,0.1478186995,0.9999485016,0.001288521802,0.0001523085666,0.01007142663,32,103754.3203,0.9973811249,0.01151888723,37.040322
HI91,95499,10522,-9.155273438e-05,0.003305053804,0.9975036979,0.05472705141,-0.01724705659,-0.03964084014,-10.76666737,-3.250000238,-35.29166794,0.01587366126,0.148117587,1.15407455,2.33,0.01587366126,0.148117587,0.9999485016,0.001291138004,0.0001515379408,0.01007142756,32,103754.3203,0.9975091774,0.06974171868,37.040322
HI91,95500,10532,-0.0003295899078,0.003268432803,0.998290956,0.08524747938,-0.009618929587,-0.04727022722,-10.45833397,-3.041666746,-35.08333588,0.01580961794,0.1481250674,1.154074788,2.34,0.01580961794,0.1481250674,0.9999485016,0.001291208784,0.0001509797294,0.01007142849,32,103754.3203,0.9982963609,0.09794963465,36.73511865
HI91,95501,10542,-0.0006225586403,0.003652954241,0.9985290766,0.06693913043,0.001060889219,-0.003019734519,-10.54166698,-2.766666889,-35.08333588,0.01572713628,0.1482791454,1.154074907,2.35,0.01572713628,0.1482791454,0.9999485016,0.001292560715,0.0001502735249,0.01007142942,32,103754.3203,0.9985359525,0.06701560613,36.73719702
HI91,95502,10552,-0.0005859375233,0.004010010045,0.9979065061,0.06083773077,-0.02335404232,-0.001493854215,-10.16666698,-2.975000143,-35.04166794,0.01578227989,0.1484791785,1.154074669,2.36,0.01578227989,0.1484791785,0.9999485016,0.001294301357,0.0001507723064,0.01007142849,32,103754.3203,0.997914735,0.06518337501,36.60778927
HI91,95503,10562,-0.001089477562,0.002032470657,0.9980712533,0.04252923653,0.001061147428,-0.01217501052,-10.50000095,-3.291666746,-34.91666794,0.01608560607,0.1483295709,1.154073954,2.37,0.01608560607,0.1483295709,0.9999485016,0.001292969217,0.0001534060866,0.01007142477,32,103754.3203,0.9980739174,0.04425034321,36.60954507
HI91,95504,10572,-0.0009155273438,0.001904297038,0.9986022711,0.001330291969,-0.005039358977,0.02444607951,-10.64166737,-2.933333397,-35.16666794,0.01609424129,0.1483457685,1.154073954,2.38,0.01609424129,0.1483457685,0.9999485016,0.001293109963,0.000153482848,0.01007142477,32,103754.3203,0.9986045065,0.02499551198,36.85843273
HI91,95505,10582,0.0002929687907,0.003140258836,0.9981995225,0.02879552171,-0.01419304684,0.05496365204,-10.72500038,-2.891666889,-35.33333588,0.01606599987,0.1483626962,1.154073954,2.39,0.01606599987,0.1483626962,0.9999485016,0.001293260022,0.000153237881,0.01007142477,32,103753.9453,0.998204505,0.0636523974,37.03825043
HI91,95506,10592,0.001547241234,0.003588867141,0.9978973269,0.08372791857,0.01021949854,0.02139431797,-10.72500038,-2.891666889,-34.95833588,0.0156960506,0.1485081911,1.154074788,2.4,0.0156960506,0.1485081911,0.9999485016,0.001294562127,0.0001500223734,0.01007142849,32,103753.9453,0.99790498,0.08702022374,36.68068453
HI91,95507,10602,0.0008789062849,0.003524780273,0.9984742403,0.05626351014,-0.01267169323,-0.006071495824,-10.72500038,-3.391666889,-35.25,0.01581665687,0.1485152394,1.15407455,2.41,0.01581665687,0.1485152394,0.9999485016,0.001294613001,0.0001510754519,0.01007142756,32,103753.9453,0.9984808486,0.05799152907,37.00123697
